,Partner,Wkt,Runs,In,Out,Inns,Opposition,Ground,Start Date,Match,Batsman,NO,Format
0,SR Tendulkar,3,17,2/110,3/127,1,Pakistan,Singapore,5 Apr 1996,1091,R Dravid,False,ODI
1,M Azharuddin,4,6,3/105,4/111,1,South Africa,Rajkot,29 Oct 1996,1132,R Dravid,False,ODI
2,A Jadeja,4,14,3/188,4/202,1,South Africa,Mumbai,14 Dec 1996,1151,R Dravid,False,ODI
3,SC Ganguly,4,45,3/40,4/85,2,Zimbabwe,Paarl,27 Jan 1997,1169,R Dravid,False,ODI
4,SC Ganguly,1,117,-,1/117,1,South Africa,East London,4 Feb 1997,1173,R Dravid,False,ODI
5,SR Tendulkar,3,2,2/59,3/61,2,Sri Lanka,Colombo (RPS),17 Aug 1997,1223,R Dravid,False,ODI
6,SC Ganguly,2,29,1/34,2/63,2,Pakistan,Toronto,14 Sep 1997,1228,R Dravid,False,ODI
7,A Jadeja,5,4,4/131,5/135,2,Pakistan,Toronto,19 Sep 1998,1352,R Dravid,False,ODI
8,SR Tendulkar,3,140,2/8,3/148,1,Australia,Dhaka,28 Oct 1998,1360,R Dravid,False,ODI
9,A Jadeja,5,29,4/120,5/149,1,England,Sharjah,11 Apr 1999,1432,R Dravid,False,ODI
10,A Jadeja,3,4,2/183,3/187,2,Pakistan,Sharjah,13 Apr 1999,1435,R Dravid,False,ODI
11,SC Ganguly,2,318,1/6,2/324,1,Sri Lanka,Taunton,26 May 1999,1463,R Dravid,False,ODI
12,SC Ganguly,3,33,2/35,3/68,3,New Zealand,Ahmedabad,29 Oct 1999,1465,R Dravid,False,Test
13,SS Dighe,7,29,6/209,7/238,1,South Africa,Faridabad,15 Mar 2000,1574,R Dravid,False,ODI
14,A Jadeja,3,0,2/193,3/193,2,South Africa,Nagpur,19 Mar 2000,1576,R Dravid,False,ODI
15,SC Ganguly,2,61,1/141,2/202,1,New Zealand,Nairobi (Gym),15 Oct 2000,1639,R Dravid,False,ODI
16,SR Tendulkar,2,31,1/33,2/64,1,Sri Lanka,Sharjah,20 Oct 2000,1640,R Dravid,False,ODI
17,HK Badani,4,7,3/122,4/129,2,Zimbabwe,Cuttack,2 Dec 2000,1656,R Dravid,False,ODI
18,SC Ganguly,2,175,1/22,2/197,1,Zimbabwe,Ahmedabad,5 Dec 2000,1657,R Dravid,False,ODI
19,Z Khan,7,5,6/624,7/629,3,Australia,Kolkata,11 Mar 2001,1535,R Dravid,False,Test
20,VVS Laxman,3,23,2/37,3/60,1,Australia,Pune,28 Mar 2001,1698,R Dravid,False,ODI
21,SC Ganguly,3,39,2/147,3/186,3,Sri Lanka,Colombo (SSC),29 Aug 2001,1559,R Dravid,False,Test
22,SC Ganguly,4,2,3/142,4/144,2,Zimbabwe,Delhi,28 Feb 2002,1591,R Dravid,False,Test
